word	pos_tag	morph_parse	lemma	correct_form
tartışma	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom	tartış	tartışma
görmezken	Verb	Verb+Neg+Aor+A3sg+Adv+While	gör	görmezken
oldu	Verb	Verb+Pos+Past+A3sg	ol	oldu
oldu	Verb	Verb+Pos+Past+A3sg	ol	oldu
açılmıştı	Verb	Verb+Verb+Pass+Pos+Narr+Past+A3sg	aç	açılmıştı
oynadı	Verb	Verb+Pos+Past+A3sg	oyna	oynadı
bilinen	Verb	Verb+Verb+Pass+Pos+Adj+PresPart	bil	bilinen
geçirdikten	Verb	Verb+Pos+Noun+PastPart+A3sg+Pnon+Abl	geçir	geçirdikten
dönmedi	Verb	Verb+Neg+Past+A3sg	dön	dönmedi
alınamıyordu	Verb	Verb+Verb+Able+Neg+Prog1+Past+A3sg	alın	alınamıyordu
kopma	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom	kop	kopma
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
alan	Verb	Verb+Pos+Adj+PresPart	al	alan
hazırlarken	Verb	Verb+Pos+Aor+A3sg+Adv+While	hazırla	hazırlarken
aldı	Verb	Verb+Pos+Past+A3sg	al	aldı
geçiren	Verb	Verb+Pos+Adj+PresPart	geçir	geçiren
çıktı	Verb	Verb+Pos+Past+A3sg	çık	çıktı
olmadan	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Abl	ol	olmadan
hastalanarak	Verb	Verb+Pos+Adv+ByDoingSo	hastalan	hastalanarak
öldü	Verb	Verb+Pos+Past+A3sg	öl	öldü
tutulsa	Verb	Verb+Verb+Pass+Pos+Desr+A3sg	tut	tutulsa
gömüldüğüne	Verb	Verb+Verb+Pass+Pos+Noun+PastPart+A3sg+P3sg+Dat	göm	gömüldüğüne
inanılmaktadır	Verb	Verb+Verb+Pass+Pos+Prog2+A3sg+Cop+A3sg	inan	inanılmaktadır
gelenler	Verb	Verb+Pos+Adj+PresPart+Noun+A3pl+Pnon+Nom	gel	gelenler
gömüldü	Verb	Verb+Verb+Pass+Pos+Past+A3sg	göm	gömüldü
dikildi	Verb	Verb+Verb+Pass+Pos+Past+A3sg	dik	dikildi
tutulması	Verb	Verb+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	tut	tutulması
gezdirilerek	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Adv+ByDoingSo	gez	gezdirilerek
giderilmiştir	Verb	Verb+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	gider	giderilmiştir
birleştirmesiyle	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Ins	birleş	birleştirmesiyle
kalkmış	Verb	Verb+Pos+Narr+A3sg	kalk	kalkmış
değişmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	değiş	değişmiştir
artmıştır	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	art	artmıştır
akışını	Verb	Verb+Pos+Noun+Inf3+A3sg+P3sg+Acc	ak	akışını
olsa	Verb	Verb+Pos+Desr+A3sg	ol	olsa
sağlamıştır	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	sağla	sağlamıştır
olsa	Verb	Verb+Pos+Desr+A3sg	ol	olsa
azalmasına	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Dat	azal	azalmasına
olmuştur	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	ol	olmuştur
yakılması	Verb	Verb+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	yak	yakılması
götürebilecek	Verb	Verb+Verb+Able+Pos+Fut+A3sg	götür	götürebilecek
olmasına	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Dat	ol	olmasına
olmuştu	Verb	Verb+Pos+Narr+Past+A3sg	ol	olmuştu
bilinenin	Verb	Verb+Verb+Pass+Pos+Adj+PresPart+Noun+A3sg+Pnon+Gen	bil	bilinenin
geçirmemiştir	Verb	Verb+Neg+Narr+A3sg+Cop+A3sg	geçir	geçirmemiştir
ilerlemiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	ilerle	ilerlemiştir
genişlemesi	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Nom	genişle	genişlemesi
olmuştur	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	ol	olmuştur
geçirmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	geçir	geçirmiştir
çıkmış	Verb	Verb+Pos+Narr+A3sg	çık	çıkmış
geçirmiş	Verb	Verb+Pos+Narr+A3sg	geçir	geçirmiş
ilerlemiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	ilerle	ilerlemiştir
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
uğratmış	Verb	Verb+Verb+Caus+Pos+Narr+A3sg	uğra	uğratmış
bakış	Verb	Verb+Pos+Noun+Inf3+A3sg+Pnon+Nom	bak	bakış
değiştirmiştir	Verb	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	değiş	değiştirmiştir
ulaşmış	Verb	Verb+Pos+Narr+A3sg	ulaş	ulaşmış
öldürmesi	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Nom	öl	öldürmesi
sevmemesini	Verb	Verb+Neg+Noun+Inf2+A3sg+P3sg+Acc	sev	sevmemesini
sağlamıştır	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	sağla	sağlamıştır
desteklenen	Verb	Verb+Verb+Pass+Pos+Adj+PresPart	destekle	desteklenen
savunmak	Verb	Verb+Pos+Noun+Inf1+A3sg+Pnon+Nom	savun	savunmak
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
nitelendirilmiştir	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	nitelen	nitelendirilmiştir
kavuşması	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Nom	kavuş	kavuşması
olmuştur	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	ol	olmuştur
gelmiş	Verb	Verb+Pos+Narr+A3sg	gel	gelmiş
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
görülmektedir	Verb	Verb+Verb+Pass+Pos+Prog2+A3sg+Cop+A3sg	gör	görülmektedir
olmasında	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Loc	ol	olmasında
taşır	Verb	Verb+Pos+Aor+A3sg	taşı	taşır
olmayan	Verb	Verb+Neg+Adj+PresPart	ol	olmayan
inceleyenler	Verb	Verb+Pos+Adj+PresPart+Noun+A3pl+Pnon+Nom	incele	inceleyenler
yazılan	Verb	Verb+Verb+Pass+Pos+Adj+PresPart	yaz	yazılan
abarttığı	Verb	Verb+Pos+Adj+PastPart+P3sg	abart	abarttığı
düşünürler	Verb	Verb+Pos+Aor+A3pl	düşün	düşünürler
verip	Verb	Verb+Pos+Adv+AfterDoingSo	ver	verip
uygulamıştır	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	uygula	uygulamıştır
çıkınca	Verb	Verb+Pos+Adv+When	çık	çıkınca
gelmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	gel	gelmiştir
demektedirler	Verb	Verb+Pos+Prog2+A3sg+Cop+A3pl	de	demektedirler
vermişlerdir	Verb	Verb+Pos+Narr+A3pl+Cop+A3sg	ver	vermişlerdir
bulunmaktadır	Verb	Verb+Pos+Prog2+A3sg+Cop+A3sg	bulun	bulunmaktadır
duyar	Verb	Verb+Pos+Aor+A3sg	duy	duyar
konmuştur	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	kon(I)	konmuştur
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
doğdu	Verb	Verb+Pos+Past+A3sg	doğ	doğdu
yaptı	Verb	Verb+Pos+Past+A3sg	yap	yaptı
olduktan	Verb	Verb+Pos+Noun+PastPart+A3sg+Pnon+Abl	ol	olduktan
bitirdi	Verb	Verb+Pos+Past+A3sg	bitir	bitirdi
bulunduğu	Verb	Verb+Pos+Adj+PastPart+P3sg	bulun	bulunduğu
olmak	Verb	Verb+Pos+Noun+Inf1+A3sg+Pnon+Nom	ol	olmak
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
nitelendirilebilecek	Verb	Verb+Verb+Caus+Verb+Pass+Verb+Able+Pos+Fut+A3sg	nitelen	nitelendirilebilecek
kaldığı	Verb	Verb+Pos+Adj+PastPart+P3sg	kal	kaldığı
olduğu	Verb	Verb+Pos+Adj+PastPart+P3sg	ol	olduğu
biliniyor	Verb	Verb+Verb+Pass+Pos+Prog1+A3sg	bil	biliniyor
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
yapar	Verb	Verb+Pos+Aor+A3sg	yap	yapar
dönüşü	Verb	Verb+Pos+Noun+Inf3+A3sg+P3sg+Nom	dön	dönüşü
edildiği	Verb	Verb+Verb+Pass+Pos+Adj+PastPart+P3sg	et	edildiği
rastlar	Verb	Verb+Pos+Aor+A3sg	rastla	rastlar
verir	Verb	Verb+Pos+Aor+A3sg	ver	verir
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
katılır	Verb	Verb+Verb+Pass+Pos+Aor+A3sg	kat	katılır
kopuşu	Verb	Verb+Pos+Noun+Inf3+A3sg+P3sg+Nom	kop	kopuşu
ayrılır	Verb	Verb+Verb+Pass+Pos+Aor+A3sg	ayır	ayrılır
etmeye	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Dat	et	etmeye
kurulan	Verb	Verb+Verb+Pass+Pos+Adj+PresPart	kur	kurulan
kurucuları	Verb	Verb+Pos+Noun+Agt+A3pl+P3sg+Nom	kur	kurucuları
bulunduğu	Verb	Verb+Pos+Adj+PastPart+P3sg	bulun	bulunduğu
kurucuları	Verb	Verb+Pos+Noun+Agt+A3pl+P3sg+Nom	kur	kurucuları
alır	Verb	Verb+Pos+Aor+A3sg	al	alır
başlayan	Verb	Verb+Pos+Adj+PresPart	başla	başlayan
alır	Verb	Verb+Pos+Aor+A3sg	al	alır
sürülür	Verb	Verb+Verb+Pass+Pos+Aor+A3sg	sür	sürülür
tanıştıracak	Verb	Verb+Verb+Caus+Pos+Fut+A3sg	tanış	tanıştıracak
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
kaçmalarıyla	Verb	Verb+Pos+Noun+Inf2+A3pl+P3sg+Ins	kaç	kaçmalarıyla
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
başlaması	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Nom	başla	başlaması
olduğu	Verb	Verb+Pos+Adj+PastPart+P3sg	ol	olduğu
gönderilir	Verb	Verb+Verb+Pass+Pos+Aor+A3sg	gönder	gönderilir
tanışır	Verb	Verb+Pos+Aor+A3sg	tanış	tanışır
düşerek	Verb	Verb+Pos+Adv+ByDoingSo	düş	düşerek
gönderilen	Verb	Verb+Verb+Pass+Pos+Adj+PresPart	gönder	gönderilen
çalışma	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom	çalış	çalışma
yürütür	Verb	Verb+Verb+Caus+Pos+Aor+A3sg	yürü	yürütür
tanışıp	Verb	Verb+Pos+Adv+AfterDoingSo	tanış	tanışıp
çalışma	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom	çalış	çalışma
yürütmeye	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	yürü	yürütmeye
başlaması	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Nom	başla	başlaması
düşer	Verb	Verb+Pos+Aor+A3sg	düş	düşer
üstlenir	Verb	Verb+Pos+Aor+A3sg	üstlen	üstlenir
çalışma	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom	çalış	çalışma
yürütür	Verb	Verb+Verb+Caus+Pos+Aor+A3sg	yürü	yürütür
örgütlenen	Verb	Verb+Verb+Pass+Pos+Adj+PresPart	örgütle	örgütlenen
katılır	Verb	Verb+Verb+Pass+Pos+Aor+A3sg	kat	katılır
çalışmaya	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Dat	çalış	çalışmaya
başlaması	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Nom	başla	başlaması
gelmesi	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Nom	gel	gelmesi
olmuştur	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	ol	olmuştur
gelen	Verb	Verb+Pos+Adj+PresPart	gel	gelen
kurulmasıdır	Verb	Verb+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom+Verb+Pres+Cop+A3sg	kur	kurulmasıdır
olmuş	Verb	Verb+Pos+Narr+A3sg	ol	olmuş
almıştır	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	al	almıştır
güvenilen	Verb	Verb+Verb+Pass+Pos+Adj+PresPart	güven	güvenilen
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
görülen	Verb	Verb+Verb+Pass+Pos+Adj+PresPart	gör	görülen
aldığı	Verb	Verb+Pos+Adj+PastPart+P3sg	al	aldığı
geçme	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom	geç	geçme
verme	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom	ver	verme
alır	Verb	Verb+Pos+Aor+A3sg	al	alır
savaşmak	Verb	Verb+Pos+Noun+Inf1+A3sg+Pnon+Nom	savaş	savaşmak
bulunan	Verb	Verb+Pos+Adj+PresPart	bulun	bulunan
oluşturulur	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg	oluş	oluşturulur
verilir	Verb	Verb+Verb+Pass+Pos+Aor+A3sg	ver	verilir
savaşması	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Nom	savaş	savaşması
olmayacak	Verb	Verb+Neg+Fut+A3sg	ol	olmayacak
dağıtılacaktır	Verb	Verb+Verb+Pass+Pos+Fut+A3sg+Cop+A3sg	dağıt	dağıtılacaktır
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
çıkan	Verb	Verb+Pos+Adj+PresPart	çık	çıkan
çıkartmak	Verb	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	çık	çıkartmak
istediğinden	Verb	Verb+Pos+Noun+PastPart+A3sg+P3sg+Abl	iste	istediğinden
şüphelenen	Verb	Verb+Pos+Adj+PresPart	şüphelen	şüphelenen
vermeyerek	Verb	Verb+Neg+Adv+ByDoingSo	ver	vermeyerek
uğramalarına	Verb	Verb+Pos+Noun+Inf2+A3pl+P3sg+Dat	uğra	uğramalarına
kalırlar	Verb	Verb+Pos+Aor+A3pl	kal	kalırlar
bağlayan	Verb	Verb+Pos+Adj+PresPart	bağla	bağlayan
gönderilmek	Verb	Verb+Verb+Pass+Pos+Noun+Inf1+A3sg+Pnon+Nom	gönder	gönderilmek
bindirildikleri	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PastPart+P3pl	bin	bindirildikleri
öldürüldüler	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3pl	öl	öldürüldüler
etmesinden	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Abl	et	etmesinden
ettiği	Verb	Verb+Pos+Adj+PastPart+P3sg	et	ettiği
öldürüldü	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	öl	öldürüldü
bulunarak	Verb	Verb+Pos+Adv+ByDoingSo	bulun	bulunarak
geliştirilmiş	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	geliş	geliştirilmiş
dağıtılabilir	Verb	Verb+Verb+Pass+Verb+Able+Pos+Aor+A3sg	dağıt	dağıtılabilir
değiştirilebilir	Verb	Verb+Verb+Caus+Verb+Pass+Verb+Able+Pos+Aor+A3sg	değiş	değiştirilebilir
kullanılabilir	Verb	Verb+Verb+Pass+Verb+Able+Pos+Aor+A3sg	kullan	kullanılabilir
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
yazılan	Verb	Verb+Verb+Pass+Pos+Adj+PresPart	yaz	yazılan
yapılan	Verb	Verb+Verb+Pass+Pos+Adj+PresPart	yap	yapılan
gelmektedir	Verb	Verb+Pos+Prog2+A3sg+Cop+A3sg	gel	gelmektedir
bulunmamaktadır	Verb	Verb+Neg+Prog2+A3sg+Cop+A3sg	bulun	bulunmamaktadır
başlanılarak	Verb	Verb+Verb+Pass+Verb+Pass+Pos+Adv+ByDoingSo	başla	başlanılarak
yazılmıştır	Verb	Verb+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	yaz	yazılmıştır
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
çalışabilmektedir	Verb	Verb+Verb+Able+Pos+Prog2+A3sg+Cop+A3sg	çalış	çalışabilmektedir
edilmekte	Verb	Verb+Verb+Pass+Pos+Prog2+A3sg	et	edilmekte
kullanılmaktadır	Verb	Verb+Verb+Pass+Pos+Prog2+A3sg+Cop+A3sg	kullan	kullanılmaktadır
yapılmaktadır	Verb	Verb+Verb+Pass+Pos+Prog2+A3sg+Cop+A3sg	yap	yapılmaktadır
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
yayınlanmakta	Verb	Verb+Verb+Pass+Pos+Prog2+A3sg	yayınla	yayınlanmakta
kullanıcılar	Verb	Verb+Pos+Noun+Agt+A3pl+Pnon+Nom	kullan	kullanıcılar
edilmekte	Verb	Verb+Verb+Pass+Pos+Prog2+A3sg	et	edilmekte
belirlenerek	Verb	Verb+Verb+Pass+Pos+Adv+ByDoingSo	belirle	belirlenerek
düzeltilmekte	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Prog2+A3sg	düzel	düzeltilmekte
geliştirilmektedir	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Prog2+A3sg+Cop+A3sg	geliş	geliştirilmektedir
durdurulur	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg	dur	durdurulur
sunulup	Verb	Verb+Verb+Pass+Pos+Adv+AfterDoingSo	sun	sunulup
geliştirme	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	geliş	geliştirme
edilir	Verb	Verb+Verb+Pass+Pos+Aor+A3sg	et	edilir
kullanıcılar	Verb	Verb+Pos+Noun+Agt+A3pl+Pnon+Nom	kullan	kullanıcılar
belirlenip	Verb	Verb+Verb+Pass+Pos+Adv+AfterDoingSo	belirle	belirlenip
edilmekte	Verb	Verb+Verb+Pass+Pos+Prog2+A3sg	et	edilmekte
düzeltilmektedir	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Prog2+A3sg+Cop+A3sg	düzel	düzeltilmektedir
kullanıcılar	Verb	Verb+Pos+Noun+Agt+A3pl+Pnon+Nom	kullan	kullanıcılar
bakılacak	Verb	Verb+Verb+Pass+Pos+Fut+A3sg	bak	bakılacak
olursa	Verb	Verb+Pos+Aor+Cond+A3sg	ol	olursa
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
etmez	Verb	Verb+Neg+Aor+A3sg	et	etmez
kullanan	Verb	Verb+Pos+Adj+PresPart	kullan	kullanan
oynatıcı	Verb	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom	oyna	oynatıcı
ederek	Verb	Verb+Pos+Adv+ByDoingSo	et	ederek
kullanıcıya	Verb	Verb+Pos+Noun+Agt+A3sg+Pnon+Dat	kullan	kullanıcıya
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
sunmaktadır	Verb	Verb+Pos+Prog2+A3sg+Cop+A3sg	sun	sunmaktadır
kullanmakta	Verb	Verb+Pos+Prog2+A3sg	kullan	kullanmakta
içermesi	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Nom	içer	içermesi
kullanmaktadır	Verb	Verb+Pos+Prog2+A3sg+Cop+A3sg	kullan	kullanmaktadır
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
esinlenerek	Verb	Verb+Verb+Pass+Pos+Adv+ByDoingSo	esinle	esinlenerek
geliştirilmeye	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Dat	geliş	geliştirilmeye
başlanmıştır	Verb	Verb+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	başla	başlanmıştır
geliştirme	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	geliş	geliştirme
yaratmak	Verb	Verb+Pos+Noun+Inf1+A3sg+Pnon+Nom	yarat	yaratmak
oluşturmaya	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	oluş	oluşturmaya
başladı	Verb	Verb+Pos+Past+A3sg	başla	başladı
gönderdiği	Verb	Verb+Pos+Adj+PastPart+P3sg	gönder	gönderdiği
geliştirmekte	Verb	Verb+Verb+Caus+Pos+Prog2+A3sg	geliş	geliştirmekte
olduğunu	Verb	Verb+Pos+Noun+PastPart+A3sg+P3sg+Acc	ol	olduğunu
ilgilenen	Verb	Verb+Pos+Adj+PresPart	ilgilen	ilgilenen
beklediğini	Verb	Verb+Pos+Noun+PastPart+A3sg+P3sg+Acc	bekle	beklediğini
yazdı	Verb	Verb+Pos+Past+A3sg	yaz	yazdı
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
yayınladı	Verb	Verb+Pos+Past+A3sg	yayınla	yayınladı
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
yayınladı	Verb	Verb+Pos+Past+A3sg	yayınla	yayınladı
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
doldurmasıdır	Verb	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Nom+Verb+Pres+Cop+A3sg	dol	doldurmasıdır
yaratılacak	Verb	Verb+Verb+Pass+Pos+Fut+A3sg	yarat	yaratılacak
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
bitmişti	Verb	Verb+Pos+Narr+Past+A3sg	bit	bitmişti
Yapılmayan	Verb	Verb+Verb+Pass+Neg+Adj+PresPart	yap	Yapılmayan
idi	Verb	Verb+Pos+Past+A3sg	i	idi
kapatılmış	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	kapa	kapatılmış
oldu	Verb	Verb+Pos+Past+A3sg	ol	oldu
esinlendiği	Verb	Verb+Verb+Pass+Pos+Adj+PastPart+P3sg	esinle	esinlendiği
çalışmasıyla	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Ins	çalış	çalışmasıyla
geliştirilmiş	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	geliş	geliştirilmiş
atılmıştır	Verb	Verb+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	at	atılmıştır
getirmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	getir	getirmiştir
yazılmış	Verb	Verb+Verb+Pass+Pos+Narr+A3sg	yaz	yazılmış
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
yaptığı	Verb	Verb+Pos+Adj+PastPart+P3sg	yap	yaptığı
çalışmalar	Verb	Verb+Pos+Noun+Inf2+A3pl+Pnon+Nom	çalış	çalışmalar
aktarılmıştır	Verb	Verb+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	aktar	aktarılmıştır
sağlayabilir	Verb	Verb+Verb+Able+Pos+Aor+A3sg	sağla	sağlayabilir
getirilmiştir	Verb	Verb+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	getir	getirilmiştir
oluşturduğu	Verb	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	oluş	oluşturduğu
etmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	et	etmiştir
gelebilen	Verb	Verb+Verb+Able+Pos+Adj+PresPart	gel	gelebilen
kurabilen	Verb	Verb+Verb+Able+Pos+Adj+PresPart	kur	kurabilen
kullanabilen	Verb	Verb+Verb+Able+Pos+Adj+PresPart	kullan	kullanabilen
kullanmaktadır	Verb	Verb+Pos+Prog2+A3sg+Cop+A3sg	kullan	kullanmaktadır
birleşmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	birleş	birleşmiştir
çalışırken	Verb	Verb+Pos+Aor+A3sg+Adv+While	çalış	çalışırken
yüklenmiştir	Verb	Verb+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	yükle	yüklenmiştir
pazarlamaya	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Dat	pazarla	pazarlamaya
başlaması	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Nom	başla	başlaması
dağıtılabilen	Verb	Verb+Verb+Pass+Verb+Able+Pos+Adj+PresPart	dağıt	dağıtılabilen
çıkarmak	Verb	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	çık	çıkarmak
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
başlatılmıştır	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	başla	başlatılmıştır
almasındaki	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Loc+Adj+Rel	al	almasındaki
olması	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Nom	ol	olması
içermemesidir	Verb	Verb+Neg+Noun+Inf2+A3sg+P3sg+Nom+Verb+Pres+Cop+A3sg	içer	içermemesidir
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
geliştirilmeye	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Dat	geliş	geliştirilmeye
etmektedir	Verb	Verb+Pos+Prog2+A3sg+Cop+A3sg	et	etmektedir
geliştirilmesi	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	geliş	geliştirilmesi
olup	Verb	Verb+Pos+Adv+AfterDoingSo	ol	olup
bulunur	Verb	Verb+Pos+Aor+A3sg	bulun	bulunur
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
kullanılması	Verb	Verb+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	kullan	kullanılması
planlanan	Verb	Verb+Verb+Pass+Pos+Adj+PresPart	planla	planlanan
ise	Verb	Verb+Pos+Cond+A3sg	i	ise
tamamlanamamıştır	Verb	Verb+Verb+Pass+Verb+Able+Neg+Narr+A3sg+Cop+A3sg	tamamla	tamamlanamamıştır
doldurmuştur	Verb	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	dol	doldurmuştur
yaratılacak	Verb	Verb+Verb+Pass+Pos+Fut+A3sg	yarat	yaratılacak
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
bitmişti	Verb	Verb+Pos+Narr+Past+A3sg	bit	bitmişti
Yapılmayan	Verb	Verb+Verb+Pass+Neg+Adj+PresPart	yap	Yapılmayan
idi	Verb	Verb+Pos+Past+A3sg	i	idi
kapatılmış	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	kapa	kapatılmış
oldu	Verb	Verb+Pos+Past+A3sg	ol	oldu
çıkarılamamasına	Verb	Verb+Verb+Caus+Verb+Pass+Verb+Able+Neg+Noun+Inf2+A3sg+P3sg+Dat	çık	çıkarılamamasına
geliştirilen	Verb	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	geliş	geliştirilen
oluşturdu	Verb	Verb+Verb+Caus+Pos+Past+A3sg	oluş	oluşturdu
söylediğine	Verb	Verb+Pos+Noun+PastPart+A3sg+P3sg+Dat	söyle	söylediğine
çıkmış	Verb	Verb+Pos+Narr+A3sg	çık	çıkmış
olsaydı	Verb	Verb+Pos+Desr+Past+A3sg	ol	olsaydı
