verb_lemma	verb_freq	caus_lemma	caus_freq
büzüş	26		
tartakla	26		
mele	26		
methet	26		
özümle	26		
hapşır	26		
çömel	26		
yumrukla	26		
belle	26		
yama	26		
gagala	26		
defet	25		
ötele	25		
tohumla	25		
vasıflan	25		
tokatla	25		
çivile	25		
küfret	25		
buğula	25		
eşele	25		
ban	25		
söv	25		
tüylen	24		
sıfırla	24		
yutkun	24		
kekele	24		
imle	24		
deş	24		
dürt	24		
açkıla	24		
kurcala	23		
törpüle	23		
ortala	23		
örsele	23		
hecele	23		
sendele	23		
parselle	23		
katıl	23		
çerçevele	23		
imren	23		
çıkış	23		
uyukla	23		
vazifelendir	23		
zıtlaş	23		
hasret	22		
gecele	22		
dikleş	22		
dörtle	22		
hikâyele	22		
terasla	22		
bulgula	21		
alar	21		
vergile	21		
ay	21		
panikle	21		
böbürlen	20		
artakal	20		
tınla	20		
neşelen	20		
közle	20		
dil	20		
yükseltge	20		
göçür	20		
düzle	20		
tezgâhla	20		
ihtisaslaş	20		
üstele	20		
çalımla	20		
afalla	20		
didin	20		
kanıksa	20		
paslaş	20		
boğazla	20		
dadan	19		
kert	19		
hayıflan	19		
kelepçele	19		
haczet	19		
akdet	19		
bürü	19		
selamlaş	19		
yalpala	19		
zımparala	19		
azlolun	19		
avun	19		
elle	19		
dosyala	19		
paralelleştir	19		
öyküle	18		
silkin	18		
bulan	18		
sıvazla	18		
şahlan	18		
sivrilt	18		
yaldızla	18		
ıh	18		
düze	18		
özdeştir	18		
nicele	18		
sevdalan	18		
göze	18		
defol	18		
söyleş	17		
hortla	17		
seğir	17		
mayınla	17		
dalaş	17		
bakın	17		
süblimleş	17		
kalıpla	17		
böğür	17		
ferahla	17		
numarala	17		
ula	17		
miyavla	17		
dağla	17		
haddele	17		
sezinle	17		
bastır	17		
gülüş	17		
şakalaş	16		
külle	16		
bunalt	16		
gururlan	16		
odaklaş	16		
tozlan	16		
kudur	16		
ufal	16		
çekil	16		
geber	16		
çullan	16		
öncele	16		
dinamitle	16		
ürper	16		
homurdan	15		
buruş	15		
tersle	15		
bayramlaş	15		
yetir	15		
kamplaş	15		
ağ	15		
ciltle	15		
ılı	15		
gölgelen	15		
heveslen	14		
yaftala	14		
çatırda	14		
nikâhla	14		
sayımla	14		
morar	14		
depreş	14		
silkele	14		
gıcırda	14		
fişle	14		
doğaçla	14		
hıçkır	14		
bozuş	14		
bodosla	14		
oranla	14		
solla	14		
kahret	13		
boşla	13		
hırla	13		
yon	13		
hatmet	13		
sırıt	13		
dit	13		
pulla	13		
bandır	13		
menet	13		
kırk	13		
tuşla	13		
balla	13		
şişmanla	13		
takış	13		
topaklan	13		
üşüş	13		
itiş	12		
saçmala	12		
geğir	12		
formatla	12		
kıllan	12		
tamponla	12		
suvar	12		
ispiyonla	12		
küflen	12		
kahrol	12		
yemle	12		
perdahla	12		
oynaş	12		
yaraş	12		
hırslan	12		
hiddetlen	12		
kurula	12		
üsten	11		
sallandır	11		
rüzgârla	11		
haydala	11		
on	11		
süngüle	11		
çeşnile	11		
itekle	11		
gönen	11		
garipse	11		
sırla	11		
kazıkla	11		
kefenle	11		
sürç	11		
toz	11		
ihtiyarla	11		
köhne	11		
hallol	11		
kırış	11		
endeksle	11		
ovuştur	11		
darbet	10		
dinel	10		
berkit	10		
körlen	10		
üfür	10		
tokuş	10		
kutula	10		
sağalt	10		
ornat	10		
marjinalleş	10		
tokalaş	10		
hüzünlen	10		
sayfala	10		
vahyolun	10		
defnolun	10		
durula	10		
bulutlan	10		
yamul	10		
klorla	10		
bağrış	10		
vazet	10		
alazla	10		
markala	10		
cisimlen	10		
nakşet	10		
topalla	10		
ütüle	10		
mimle	10		
akortla	10		
tepele	10		
kalayla	10		
dertleş	10		
bört	10		
debelen	10		
fiyatla	10		
bekin	10		
çığır	9		
zırhlan	9		
pohpohla	9		
lezzetlen	9		
tısla	9		
darıl	9		
pisle	9		
ovala	9		
köstekle	9		
kamala	9		
vidala	9		
tasarımla	9		
ilikle	9		
rastlaş	9		
savla	9		
ayakla	9		
didikle	9		
mıhla	9		
çoksa	9		
değir	9		
adımla	9		
hazzet	9		
ofla	9		
tortulan	9		
zırhlandır	9		
katış	9		
antlaş	9		
dövün	9		
acındır	9		
vakumla	9		
boyla	9		
kibirlen	9		
kişne	9		
affolun	8		
üşen	8		
anıştır	8		
bay	8		
bakış	8		
tekle	8		
uğulda	8		
evetle	8		
nasbet	8		
peydahla	8		
sıvış	8		
eğle	8		
başka	8		
ıslıkla	8		
lütfet	8		
uzaksa	8		
çoğulla	8		
gocun	8		
helalleş	8		
vernikle	8		
tepin	8		
şakla	8		
kıkırda	8		
yarıla	8		
yayla	8		
imgele	8		
cızla	8		
birle	8		
ılga	8		
ebele	8		
güdüle	8		
kumla	8		
irk	8		
şişle	8		
makasla	8		
sayış	8		
astarla	7		
ıkın	7		
oydaş	7		
semir	7		
dizinle	7		
inatlaş	7		
balyala	7		
süs	7		
bayatla	7		
çalka	7		
sonla	7		
pençeleş	7		
omuzla	7		
okla	7		
patakla	7		
tıraşla	7		
yığış	7		
pıs	7		
süratlen	7		
azıt	7		
puslan	7		
vızılda	7		
yumruklaş	7		
frezele	7		
cepheleş	6		
süslen	6		
hakla	6		
yas	6		
malala	6		
çap	6		
tembihle	6		
sabahla	6		
galvanizle	6		
hidrojenle	6		
çav	6		
torbala	6		
eğele	6		
çiftle	6		
esinlen	6		
kırın	6		
kokut	6		
bekleş	6		
payla	6		
soluklan	6		
bele	6		
budaklan	6		
faksla	6		
faturala	6		
başakla	6		
üt	6		
küfürleş	6		
çöreklen	6		
gümrükle	6		
berele	6		
çağ	6		
ged	6		
yudumla	6		
ilen	6		
çim	6		
öğür	6		
çekiçle	6		
pudrala	6		
ulula	6		
çağla	6		
iletiş	6		
jurnalle	6		
yellen	6		
sancılan	6		
bantla	6		
yansıla	6		
sargıla	6		
yaylan	6		
gerin	6		
gevele	6		
yağmurla	6		
üleş	6		
kaytar	6		
koyult	5		
halkala	5		
tutkalla	5		
kükürtle	5		
denkle	5		
bırakış	5		
hayla	5		
özdeşle	5		
sarmaş	5		
çisele	5		
tapula	5		
gammazla	5		
koca	5		
göçer	5		
esri	5		
koyver	5		
üçle	5		
sesle	5		
mumla	5		
uçukla	5		
tanıt	5		
deneyle	5		
yangılan	5		
hislen	5		
sapıt	5		
belirt	5		
yamal	5		
sobele	5		
itele	5		
ırgan	5		
çelikle	5		
katranla	5		
aksır	5		
neşrolun	5		
çapala	5		
randevulaş	5		
gasbet	5		
savul	5		
çöğ	5		
dercet	5		
nalla	5		
yalazla	5		
dürtükle	5		
sanç	5		
tasalan	4		
rampala	4		
kızakla	4		
yel	4		
efsunla	4		
tın	4		
sepile	4		
ut	4		
kılıfla	4		
kabuklan	4		
ayrımla	4		
nazlan	4		
ürü	4		
nakışla	4		
biliş	4		
hükmolun	4		
kırpış	4		
otala	4		
genel	4		
tomur	4		
çapulla	4		
göy	4		
kubaş	4		
keyiflen	4		
kubar	4		
alaşımla	4		
tün	4		
büyüklen	4		
kıvılcımlan	4		
banla	4		
küre	4		
koşulla	4		
ene	4		
çözüş	4		
siy	4		
fokurda	4		
cebelleş	4		
sonuçla	4		
tıngırda	4		
silola	4		
kırıt	4		
buzağıla	4		
huysuzlan	4		
huylan	4		
haccet	4		
savsakla	4		
kavla	4		
sızır	4		
kokulan	4		
seyreyle	4		
gürülde	4		
merkezle	4		
dayanış	4		
sekile	4		
nefyet	3		
yalabı	3		
gazla	3		
karele	3		
ergür	3		
çapkı	3		
kesele	3		
mırla	3		
arşınla	3		
fısıldaş	3		
esir	3		
eser	3		
ocu	3		
mürekkeple	3		
jiletle	3		
rötuşla	3		
yerin	3		
açımla	3		
üş	3		
sürün	3		
dönen	3		
çiziktir	3		
kakış	3		
tornala	3		
yaltaklan	3		
tavsa	3		
ensele	3		
bağda	3		
sopala	3		
badanala	3		
haşılla	3		
zımbala	3		
çevrile	3		
ötüş	3		
celbet	3		
açın	3		
bereketlen	3		
tüy	3		
alakalan	3		
parala	3		
zamkla	3		
kafesle	3		
kargı	3		
örnekse	3		
ödünçle	3		
devrolun	3		
zikrolun	3		
şenel	3		
yadımla	3		
harekele	3		
sağal	3		
tosla	3		
sarsala	3		
zimmetle	3		
karbonatla	3		
kederlen	3		
çevrin	3		
şartla	3		
menevişle	3		
kep	3		
demetlen	3		
sürgüle	3		
hortumla	3		
gümbürde	3		
alçıla	3		
fitille	3		
halet	3		
keyfet	3		
briketle	3		
yazla	3		
hararetlen	3		
dilen	3		
pörsü	3		
masset	3		
beşle	3		
köpüklen	3		
nötrle	3		
tabet	3		
koklaş	2		
süzgeçle	2		
parmakla	2		
beneklen	2		
bölgele	2		
şerbetle	2		
çent	2		
polar	2		
kinlen	2		
tasnifle	2		
sepele	2		
kancala	2		
notala	2		
vehmet	2		
şırılda	2		
parametrele	2		
diklen	2		
anır	2		
dipçikle	2		
ümitlen	2		
zıpkınla	2		
çelmele	2		
bandajla	2		
sırı	2		
siyanürle	2		
sayla	2		
vınla	2		
sekit	2		
guslet	2		
alala	2		
kırkla	2		
pürüzlen	2		
kaşın	2		
erginle	2		
ahdet	2		
destele	2		
kaşan	2		
topakla	2		
barikatla	2		
kıskaçla	2		
kürne	2		
deşele	2		
ırgala	2		
yivle	2		
titizlen	2		
desenle	2		
okra	2		
orantıla	2		
röntgenle	2		
somur	2		
kıp	2		
açıl	2		
gümüşle	2		
çöm	2		
osur	2		
efkârlan	2		
kürü	2		
soğanla	2		
dikel	2		
tıkırda	2		
yongala	2		
cevret	2		
vakla	2		
ilmekle	2		
çıtla	2		
zamlan	2		
örgüle	2		
sabunla	2		
öze	2		
serdet	2		
çağılda	2		
özgüle	2		
dişle	2		
tanele	2		
pırılda	2		
şampuanla	2		
nurlan	2		
renkle	2		
mıncıkla	2		
gevre	2		
muştula	2		
yaslan	2		
çulla	2		
uğun	2		
yarlıga	2		
kepeklen	2		
kaşele	2		
boyala	2		
takırda	2		
çimdikle	2		
çuvalla	2		
kalburla	2		
nihayetlen	2		
gedil	2		
tırmıkla	2		
kavza	2		
tımarla	2		
uzat	2		
sifonla	2		
siperlen	2		
arakla	2		
darbele	2		
dikizle	2		
ırala	2		
bileyle	2		
yassıl	2		
güneşlen	2		
yelle	2		
kâğıtla	2		
eyerle	2		
rutubetlen	2		
sümkür	2		
çırçırla	2		
anıkla	2		
şakra	2		
ödeş	2		
bekit	2		
esle	2		
kocal	2		
nazmet	2		
hamlet	2		
karı	2		
hırılda	2		
nasiplen	2		
şıngırda	2		
çit	1		
elektrikle	1		
cıyakla	1		
sıkıla	1		
sabreyle	1		
şarla	1		
betelen	1		
hasırla	1		
apış	1		
çentikle	1		
tırpanla	1		
ilintile	1		
kahırlan	1		
karşıtla	1		
tekerle	1		
bozla	1		
ambarla	1		
kılavuzla	1		
koltukla	1		
ahzet	1		
afişle	1		
pakla	1		
kısımla	1		
akçala	1		
cıv	1		
tayla	1		
açınsa	1		
mineralleştir	1		
gemle	1		
pırtla	1		
tabakala	1		
hohla	1		
minele	1		
gadret	1		
tırnakla	1		
şırla	1		
sıvala	1		
zıngırda	1		
soruş	1		
dumanla	1		
ayla	1		
toslaş	1		
çıtırda	1		
sokuş	1		
tomrukla	1		
harelen	1		
unla	1		
cüretlen	1		
tayyet	1		
poşetle	1		
sızdır	1		
konukla	1		
camla	1		
tokmakla	1		
soyla	1		
feyzal	1		
nakşol	1		
sikkele	1		
çapraş	1		
sürüştür	1		
eğleş	1		
lağvol	1		
kılıçla	1		
harcet	1		
tünekle	1		
varakla	1		
afsunla	1		
çivitle	1		
türet	1		
fışırda	1		
ötür	1		
atlat	1		
karışla	1		
hıfzet	1		
silahla	1		
zenginle	1		
durala	1		
vızla	1		
faslet	1		
parafla	1		
alacala	1		
eyit	1		
çıv	1		
yırla	1		
pörtle	1		
çile	1		
payandala	1		
emiş	1		
tebeşirle	1		
çaşıtla	1		
işkillen	1		
kalafatla	1		
şeritle	1		
kakala	1		
mıknatısla	1		
kuzula	1		
yamala	1		
aprele	1		
deyiver	1		
karmaş	1		
recmet	1		
gerekse	1		
seyirt	1		
gidiş	1		
ağna	1		
zehret	1		
vıcırda	1		
kınala	1		
siyahlat	1		
tıkın	1		
gırtlakla	1		
şekerle	1		
addolun	1		
harfle	1		
lafla	1		
şapırda	1		
hafifse	1		
teyelle	1		
durul	1		
meleş	1		
kütürde	1		
hışırda	1		
şutla	1		
çöğün	1		
kanır	1		
bütçele	1		
oynat	1		
çayırla	1		
reddeyle	1		
mutlan	1		
bollan	1		
titret	1		
güdele	1		
çemre	1		
savakla	1		
kesbet	1		
boşat	1		
mayış	1		
esenle	1		
gaslet	1		
mırılda	1		
kolala	1		
topukla	1		
gıdakla	1		
sislen	1		
yelpazele	1		
üzengile	1		
terbiyele	1		
aban	1		
sancı	1		
sığa	1		
köpüle	1		
orsala	1		
yoğurtla	1		
buğzet	1		
tırs	1		
zırvala	1		
ılıştır	1		
apazla	1		
avuçla	1		
abra	1		
masajla	1		
domal	1		
sik	1		
dazla	1		
sarımsakla	1		
havuzla	1		
kredile	1		
sarın	1		
talanla	1		
raspala	1		
kaşarlan	1		
dökün	1		
merhabalaş	1		
şaşala	1		
dehle	1		
kulaçla	1		
fıkırda	1		
yokumsa	1		
planyala	1		
kuşakla	1		
rakamla	1		
gurulda	1		
ayrımsa	1		
tıpala	1		
böceklen	1		
ödünle	1		
zannolun	1		
çekimle	1		
sepetle	1		
yanşa	1		
tangırda	1		
sıcakla	1		
düğmele	1		
hiçle	1		
cumbala	1		
çitle	1		
kolayla	1		
arkala	1		
zırla	1		
yülü	1		
tipile	1		
tirele	1		
günüle	1		
tıkış	1		
taharetlen	1		
tüple	1		
raptet	1		
azotla	1		
büyükse	1		
cızırda	1		
emreyle	1		
çocukla	1		
cemet	1		
kemerle	1		
küçükse	1		
