caus_lemma	caus_freq	caus_proportion	verb_lemma	verb_freq
kamplaş	1.0	0.067	kamplaş	15
eleştir	1.0	0.0	eleştir	2514
içir	1.0	0.016	içir	64
işe	1.0	0.023	işe	44
zorla	1.0	0.0	zorla	2736
çatırda	1.0	0.071	çatırda	14
dene	1.0	0.001	dene	1615
çeliş	1.0	0.004	çeliş	245
betimle	1.0	0.001	betimle	1339
gözük	1.0	0.001	gözük	1337
hakket	1.0	0.037	hakket	27
karıncalan	1.0	0.037	karıncalan	27
büzüş	1.0	0.038	büzüş	26
tartakla	1.0	0.038	tartakla	26
özümle	1.0	0.038	özümle	26
gizle	1.0	0.001	gizle	1088
ayarla	1.0	0.001	ayarla	1186
mühürle	1.0	0.01	mühürle	96
parselle	1.0	0.043	parselle	23
çerçevele	1.0	0.043	çerçevele	23
yavrula	1.0	0.017	yavrula	59
zincirle	1.0	0.017	zincirle	59
tüken	1.0	0.001	tüken	1331
katet	1.0	0.004	katet	256
boğazla	1.0	0.05	boğazla	20
yalanla	1.0	0.004	yalanla	248
zımparala	1.0	0.053	zımparala	19
tıkış	1.0	1.0	tıkış	1
			i	88483
			gel	73048
			göster	41322
			geç	38235
			kat	32003
			git	26060
			alın	23766
			açıkla	15327
			düş	13880
			savun	13578
			içer	12414
			belirle	10707
			yen(II)	10059
			başar	9065
			anlaş	8472
			an	8205
			duy	8131
			destekle	7341
			öğren	7170
			kaç	7050
			kurtul	6588
			görün	5969
			kuşat	5082
			sergile	5031
			planla	4837
			besle	4767
			uç	4567
			kapsa	4514
			sırala	4294
			anla	3911
			ak	3391
			öner	3294
			çevril	3264
			dağıl	3212
			kalk	3103
			diren	3050
			yitir	2887
			suçla	2774
			san	2669
			önle	2631
			yarala	2582
			tüket	2294
			giriş	2256
			kaybol	2207
			derle	2158
			kirala	2125
			yönlendir	2026
			sapta	2016
			öngör	2007
			çağrıl	1927
			başvur	1922
			amaçla	1837
			gözlemle	1822
			gözle	1789
			esinle	1707
			vurgula	1636
			takıl	1635
			öğret	1536
			fethet	1516
			ilet	1486
			kork	1447
			depola	1396
			yet	1354
			kısıtla	1312
			hedefle	1307
			kop	1260
			emret	1249
			odakla	1223
			pazarla	1210
			soruştur	1194
			yara	1174
			bat	1171
			programla	1137
			gider	1136
			pişir	1135
			tepki	1038
			varsay	1024
			kaçın	1014
			sınırla	1006
			eğit	982
			aydınlat	982
			andır	979
			ısıt	969
			güncelle	961
			devral	934
			dile	915
			ateşle	884
			çözümle	872
			ünle	863
			hoşlan	861
			görüntüle	810
			kodla	799
			ilişkilendir	765
			şifrele	745
			um	744
			simgele	733
			karşılaştır	731
			çevrele	719
			yıka	708
			sakatla	703
			güt	686
			devril	662
			devir	650
			göç	647
			indirge	636
			sars	635
			boşal	629
			toparla	587
			çekin	583
			katlan	581
			kastet	571
			kıyasla	552
			noktala	534
			işaretle	517
			hükmet	510
			nitele	509
			atfet	506
			kopyala	489
			ser	470
			sına	470
			salla	466
			tetikle	466
			aldat	461
			piş	450
			yum	448
			kaydol	445
			bük	442
			yinele	441
			gözet	441
			kına	436
			yetin	427
			daral	423
			soğu	411
			sürtün	410
			kas	384
			düğ	381
			soyutla	379
			tapın	378
			dengele	368
			sıkıl	367
			yazış	365
			harmanla	361
			yor	358
			ağırla	351
			dölle	349
			gözetle	344
			soğut	341
			modelle	336
			taş	333
			soğur	327
			kışkırt	307
			irdele	304
			hizala	304
			nişanla	304
			şiş	299
			yardımlaş	298
			sark	293
			alla	290
			arıt	287
			yalvar	277
			örnekle	266
			silk	262
			küçümse	257
			öğüt	256
			sınıfla	254
			bayıl	254
			salıver	249
			çabala	249
			yakın	249
			kıvrıl	248
			yırt	248
			zikret	243
			tertiple	235
			hallet	233
			akla	231
			zamanla	230
			sı	226
			kazın	225
			paketle	224
			danış	217
			abart	216
			sıyrıl	214
			tiple	211
			oksitle	210
			diril	206
			dür	205
			yalıt	204
			haşla	203
			yeğle	202
			üfle	201
			ayıkla	201
			lağvet	200
			bıçakla	190
			lanetle	189
			yu	189
			damıt	188
			buyur	187
			hesaplaş	186
			süpür	185
			garantile	183
			kirlet	183
			başkaldır	181
			emzir	181
			takın	179
			yıprat	177
			çırp	177
			kamulaştır	176
			yanıtla	176
			büyüle	173
			cevapla	172
			puanla	168
			eşitle	163
			sömür	162
			arzula	161
			oyala	158
			katla	158
			doğra	157
			sıva	156
			esirge	156
			kenetle	152
			kavur	149
			sav	148
			klonla	147
			yadsı	147
			kolla	143
			mayala	142
			sürtüş	140
			tamla	138
			alıkoy	138
			kok	138
			etiketle	137
			daralt	137
			mektuplaş	134
			doyur	133
			ona	132
			yasla	132
			becer	131
			yen(I)	130
			kovuştur	130
			kavrul	130
			cezbet	127
			haykır	127
			listele	126
			pompala	126
			kırp	125
			rahatsızlan	124
			yont	124
			alkışla	122
			dizile	120
			gereksin	120
			körükle	116
			ısmarla	116
			tuzakla	115
			toprakla	115
			bahşet	114
			yer	114
			karala	113
			sivril	112
			savrul	112
			buy	111
			etki	111
			övün	110
			der	109
			kuşan	106
			dala	105
			addet	103
			şaş	102
			mahvet	102
			değerle	100
			kundakla	99
			büz	99
			kucakla	99
			zonkla	99
			yedekle	98
			doğrult	98
			incit	98
			savur	96
			bunal	96
			buda	94
			dayat	94
			arşivle	94
			ışınla	94
			hırpala	93
			çeşitle	93
			genelle	93
			bayılt	92
			frenle	91
			filizle	91
			mumyala	91
			burk	91
			tümle	90
			yakınsa	89
			uğurla	89
			hapsol	88
			çalkala	87
			daya	87
			tükür	86
			eksil	85
			devşir	84
			hicvet	84
			indükle	84
			istifle	83
			bert	83
			yoğrul	83
			donan	82
			fırınla	81
			perçinle	81
			gölgele	80
			umursa	78
			azarla	78
			turla	77
			örtün	77
			şakı	77
			müjdele	77
			susa	76
			kayır	76
			çel	76
			kötüle	76
			ov	75
			raporla	74
			şişir	74
			gübrele	71
			yala	71
			fısılda	71
			taşır	70
			alıntıla	69
			yuvala	69
			göğüsle	68
			ilaçla	68
			vakfet	68
			aşer	67
			öğütle	66
			makyajla	65
			tuzla	65
			tavla	65
			kemir	64
			güneşle	64
			tanıla	64
			torpille	64
			yol	63
			dilimle	63
			serpiştir	63
			eğir	63
			stokla	62
			sönümle	61
			vedalaş	61
			tazele	61
			koç	60
			fotoğrafla	60
			dona	59
			sağ	59
			mahmuzla	59
			elver	58
			azımsa	58
			ikile	57
			ayart	56
			yakar	55
			maskele	55
			zulmet	54
			eklemle	54
			kireçle	54
			vadet	54
			arızalan	53
			çat	53
			havla	53
			sırtla	53
			düşle	53
			pozla	52
			bütünle	52
			ufala	51
			sataş	51
			presle	51
			içerle	51
			katalogla	51
			kükre	50
			yun	50
			cilala	50
			ürk	50
			aldan	50
			mahvol	50
			dire	49
			şişele	49
			yort	49
			yankıla	48
			okşa	48
			ölçekle	48
			şükret	48
			yelten	48
			melezle	48
			bölümle	48
			kurşunla	47
			ölçüş	46
			düğümle	46
			rendele	46
			bordala	45
			arala	45
			tabakla	44
			demle	44
			güdümle	44
			çaprazla	43
			kümele	43
			incin	43
			ıskala	42
			sarkıt	42
			dizginle	42
			kak	41
			çırpın	41
			öykün	41
			lekele	41
			ürküt	41
			il	41
			ulu	40
			yoksun	40
			diret	40
			tüne	40
			kaşı	40
			baltala	40
			tersin	40
			lehimle	40
			tekmele	39
			eksilt	39
			buna	39
			fırçala	39
			montajla	38
			konumla	38
			kon(II)	38
			gev	38
			ambalajla	38
			mırıldan	38
			akaçla	38
			buzlan	38
			ıraksa	37
			büyült	37
			alıkonul	37
			perdele	36
			grupla	36
			postala	36
			tomurcuklan	35
			ölçümle	35
			tütsüle	34
			kar	34
			iğnele	34
			ayıpla	34
			sarmala	34
			düz	34
			emekle	34
			harla	33
			eş	33
			ota	33
			kaçış	33
			palazla	32
			eğril	32
			boğumla	32
			öksür	32
			kamçıla	31
			yeniş	31
			tırmala	31
			evir	31
			mıknatıslan	31
			bun	30
			avut	30
			sabırsızlan	30
			sayıkla	30
			tasla	30
			mükâfatlandır	30
			beyazlat	29
			gıdıkla	29
			sabret	29
			pus	29
			doluş	29
			tökezle	29
			kokuş	28
			didiş	28
			yed	28
			uslamla	27
			yokla	27
			sın	27
			methet	26
			hapşır	26
			çömel	26
			yumrukla	26
			yama	26
			gagala	26
			defet	25
			ötele	25
			tohumla	25
			tokatla	25
			çivile	25
			küfret	25
			buğula	25
			eşele	25
			ban	25
			söv	25
			sıfırla	24
			yutkun	24
			kekele	24
			imle	24
			deş	24
			dürt	24
			açkıla	24
			kurcala	23
			törpüle	23
			ortala	23
			örsele	23
			hecele	23
			sendele	23
			katıl	23
			çıkış	23
			uyukla	23
			vazifelendir	23
			zıtlaş	23
			hasret	22
			gecele	22
			dörtle	22
			hikâyele	22
			terasla	22
			bulgula	21
			alar	21
			vergile	21
			ay	21
			panikle	21
			böbürlen	20
			artakal	20
			közle	20
			dil	20
			yükseltge	20
			göçür	20
			tezgâhla	20
			ihtisaslaş	20
			üstele	20
			çalımla	20
			didin	20
			kanıksa	20
			paslaş	20
			dadan	19
			kert	19
			hayıflan	19
			kelepçele	19
			akdet	19
			bürü	19
			selamlaş	19
			yalpala	19
			azlolun	19
			avun	19
			dosyala	19
			paralelleştir	19
			öyküle	18
			silkin	18
			sıvazla	18
			sivrilt	18
			yaldızla	18
			ıh	18
			özdeştir	18
			nicele	18
			sevdalan	18
			göze	18
			defol	18
			söyleş	17
			dalaş	17
			bakın	17
			süblimleş	17
			kalıpla	17
			böğür	17
			numarala	17
			ula	17
			miyavla	17
			haddele	17
			sezinle	17
			gülüş	17
			şakalaş	16
			külle	16
			bunalt	16
			çekil	16
			çullan	16
			öncele	16
			dinamitle	16
			homurdan	15
			tersle	15
			bayramlaş	15
			yetir	15
			ağ	15
			yaftala	14
			sayımla	14
			morar	14
			silkele	14
			fişle	14
			doğaçla	14
			hıçkır	14
			bozuş	14
			bodosla	14
			oranla	14
			solla	14
			kahret	13
			boşla	13
			hırla	13
			yon	13
			hatmet	13
			sırıt	13
			dit	13
			bandır	13
			menet	13
			kırk	13
			tuşla	13
			takış	13
			topaklan	13
			üşüş	13
			itiş	12
			saçmala	12
			geğir	12
			formatla	12
			kıllan	12
			tamponla	12
			suvar	12
			ispiyonla	12
			küflen	12
			kahrol	12
			yemle	12
			perdahla	12
			oynaş	12
			yaraş	12
			hiddetlen	12
			kurula	12
			üsten	11
			sallandır	11
			rüzgârla	11
			haydala	11
			on	11
			süngüle	11
			çeşnile	11
			itekle	11
			gönen	11
			garipse	11
			sırla	11
			kazıkla	11
			kefenle	11
			toz	11
			köhne	11
			hallol	11
			endeksle	11
			ovuştur	11
			dinel	10
			berkit	10
			körlen	10
			üfür	10
			kutula	10
			sağalt	10
			ornat	10
			tokalaş	10
			sayfala	10
			vahyolun	10
			defnolun	10
			durula	10
			bulutlan	10
			klorla	10
			bağrış	10
			alazla	10
			markala	10
			nakşet	10
			topalla	10
			ütüle	10
			mimle	10
			akortla	10
			tepele	10
			kalayla	10
			dertleş	10
			bört	10
			debelen	10
			fiyatla	10
			bekin	10
			çığır	9
			zırhlan	9
			pohpohla	9
			tısla	9
			ovala	9
			köstekle	9
			kamala	9
			vidala	9
			tasarımla	9
			ilikle	9
			rastlaş	9
			savla	9
			ayakla	9
			didikle	9
			mıhla	9
			değir	9
			adımla	9
			hazzet	9
			ofla	9
			tortulan	9
			zırhlandır	9
			antlaş	9
			dövün	9
			acındır	9
			vakumla	9
			boyla	9
			affolun	8
			üşen	8
			anıştır	8
			bay	8
			bakış	8
			tekle	8
			uğulda	8
			evetle	8
			nasbet	8
			peydahla	8
			sıvış	8
			eğle	8
			başka	8
			ıslıkla	8
			lütfet	8
			uzaksa	8
			çoğulla	8
			helalleş	8
			vernikle	8
			tepin	8
			kıkırda	8
			yarıla	8
			yayla	8
			imgele	8
			cızla	8
			birle	8
			ılga	8
			ebele	8
			güdüle	8
			kumla	8
			irk	8
			makasla	8
			sayış	8
			astarla	7
			ıkın	7
			oydaş	7
			dizinle	7
			inatlaş	7
			balyala	7
			süs	7
			çalka	7
			sonla	7
			pençeleş	7
			omuzla	7
			okla	7
			patakla	7
			tıraşla	7
			yığış	7
			pıs	7
			süratlen	7
			azıt	7
			vızılda	7
			yumruklaş	7
			frezele	7
			cepheleş	6
			hakla	6
			yas	6
			malala	6
			çap	6
			tembihle	6
			sabahla	6
			galvanizle	6
			hidrojenle	6
			çav	6
			torbala	6
			eğele	6
			çiftle	6
			kırın	6
			kokut	6
			bekleş	6
			payla	6
			soluklan	6
			bele	6
			budaklan	6
			faksla	6
			faturala	6
			başakla	6
			üt	6
			küfürleş	6
			çöreklen	6
			gümrükle	6
			berele	6
			çağ	6
			ged	6
			ilen	6
			çim	6
			öğür	6
			çekiçle	6
			pudrala	6
			ulula	6
			çağla	6
			iletiş	6
			jurnalle	6
			yellen	6
			sancılan	6
			bantla	6
			yansıla	6
			sargıla	6
			yaylan	6
			gerin	6
			gevele	6
			yağmurla	6
			kaytar	6
			koyult	5
			halkala	5
			tutkalla	5
			kükürtle	5
			denkle	5
			bırakış	5
			hayla	5
			özdeşle	5
			sarmaş	5
			çisele	5
			tapula	5
			gammazla	5
			koca	5
			esri	5
			koyver	5
			üçle	5
			mumla	5
			deneyle	5
			yangılan	5
			sapıt	5
			yamal	5
			sobele	5
			itele	5
			ırgan	5
			çelikle	5
			katranla	5
			neşrolun	5
			çapala	5
			randevulaş	5
			gasbet	5
			savul	5
			çöğ	5
			dercet	5
			nalla	5
			yalazla	5
			dürtükle	5
			sanç	5
			tasalan	4
			rampala	4
			kızakla	4
			yel	4
			efsunla	4
			tın	4
			sepile	4
			ut	4
			kılıfla	4
			kabuklan	4
			ayrımla	4
			nazlan	4
			nakışla	4
			biliş	4
			hükmolun	4
			kırpış	4
			otala	4
			genel	4
			çapulla	4
			göy	4
			kubaş	4
			kubar	4
			alaşımla	4
			tün	4
			büyüklen	4
			banla	4
			küre	4
			koşulla	4
			siy	4
			fokurda	4
			cebelleş	4
			sonuçla	4
			silola	4
			kırıt	4
			buzağıla	4
			huysuzlan	4
			huylan	4
			haccet	4
			savsakla	4
			kavla	4
			sızır	4
			seyreyle	4
			gürülde	4
			merkezle	4
			dayanış	4
			sekile	4
			nefyet	3
			yalabı	3
			gazla	3
			karele	3
			ergür	3
			çapkı	3
			kesele	3
			mırla	3
			arşınla	3
			fısıldaş	3
			esir	3
			eser	3
			jiletle	3
			rötuşla	3
			yerin	3
			açımla	3
			üş	3
			dönen	3
			çiziktir	3
			kakış	3
			tornala	3
			yaltaklan	3
			tavsa	3
			ensele	3
			bağda	3
			sopala	3
			badanala	3
			haşılla	3
			zımbala	3
			çevrile	3
			ötüş	3
			celbet	3
			tüy	3
			parala	3
			zamkla	3
			kafesle	3
			kargı	3
			örnekse	3
			ödünçle	3
			devrolun	3
			zikrolun	3
			yadımla	3
			harekele	3
			sağal	3
			tosla	3
			sarsala	3
			zimmetle	3
			karbonatla	3
			çevrin	3
			şartla	3
			menevişle	3
			kep	3
			demetlen	3
			sürgüle	3
			hortumla	3
			gümbürde	3
			alçıla	3
			fitille	3
			halet	3
			keyfet	3
			briketle	3
			yazla	3
			pörsü	3
			masset	3
			beşle	3
			köpüklen	3
			nötrle	3
			tabet	3
			koklaş	2
			süzgeçle	2
			parmakla	2
			beneklen	2
			bölgele	2
			şerbetle	2
			çent	2
			polar	2
			kinlen	2
			tasnifle	2
			sepele	2
			kancala	2
			notala	2
			vehmet	2
			şırılda	2
			parametrele	2
			diklen	2
			anır	2
			dipçikle	2
			zıpkınla	2
			çelmele	2
			bandajla	2
			sırı	2
			siyanürle	2
			sayla	2
			vınla	2
			sekit	2
			guslet	2
			alala	2
			kırkla	2
			erginle	2
			ahdet	2
			destele	2
			topakla	2
			barikatla	2
			kıskaçla	2
			kürne	2
			deşele	2
			ırgala	2
			yivle	2
			titizlen	2
			desenle	2
			okra	2
			orantıla	2
			röntgenle	2
			kıp	2
			açıl	2
			gümüşle	2
			çöm	2
			osur	2
			efkârlan	2
			kürü	2
			soğanla	2
			dikel	2
			yongala	2
			cevret	2
			vakla	2
			ilmekle	2
			zamlan	2
			örgüle	2
			sabunla	2
			öze	2
			serdet	2
			çağılda	2
			özgüle	2
			dişle	2
			tanele	2
			pırılda	2
			şampuanla	2
			nurlan	2
			renkle	2
			mıncıkla	2
			muştula	2
			yaslan	2
			çulla	2
			uğun	2
			yarlıga	2
			kepeklen	2
			kaşele	2
			boyala	2
			çimdikle	2
			çuvalla	2
			kalburla	2
			gedil	2
			tırmıkla	2
			kavza	2
			tımarla	2
			sifonla	2
			siperlen	2
			arakla	2
			darbele	2
			dikizle	2
			ırala	2
			yelle	2
			kâğıtla	2
			eyerle	2
			rutubetlen	2
			sümkür	2
			çırçırla	2
			anıkla	2
			şakra	2
			ödeş	2
			bekit	2
			esle	2
			kocal	2
			nazmet	2
			hamlet	2
			karı	2
			hırılda	2
			nasiplen	2
			çit	1
			elektrikle	1
			cıyakla	1
			sıkıla	1
			sabreyle	1
			şarla	1
			betelen	1
			hasırla	1
			apış	1
			çentikle	1
			tırpanla	1
			ilintile	1
			kahırlan	1
			karşıtla	1
			tekerle	1
			bozla	1
			ambarla	1
			kılavuzla	1
			koltukla	1
			ahzet	1
			afişle	1
			pakla	1
			kısımla	1
			akçala	1
			cıv	1
			tayla	1
			açınsa	1
			mineralleştir	1
			gemle	1
			tabakala	1
			hohla	1
			minele	1
			gadret	1
			tırnakla	1
			şırla	1
			sıvala	1
			soruş	1
			dumanla	1
			ayla	1
			toslaş	1
			çıtırda	1
			tomrukla	1
			harelen	1
			unla	1
			cüretlen	1
			tayyet	1
			poşetle	1
			konukla	1
			camla	1
			tokmakla	1
			soyla	1
			feyzal	1
			nakşol	1
			sikkele	1
			çapraş	1
			sürüştür	1
			eğleş	1
			lağvol	1
			kılıçla	1
			harcet	1
			tünekle	1
			varakla	1
			afsunla	1
			çivitle	1
			türet	1
			fışırda	1
			ötür	1
			karışla	1
			hıfzet	1
			silahla	1
			zenginle	1
			durala	1
			vızla	1
			faslet	1
			parafla	1
			alacala	1
			eyit	1
			çıv	1
			yırla	1
			çile	1
			payandala	1
			emiş	1
			tebeşirle	1
			çaşıtla	1
			işkillen	1
			kalafatla	1
			şeritle	1
			kakala	1
			mıknatısla	1
			kuzula	1
			yamala	1
			aprele	1
			deyiver	1
			karmaş	1
			recmet	1
			gerekse	1
			seyirt	1
			gidiş	1
			ağna	1
			zehret	1
			vıcırda	1
			kınala	1
			siyahlat	1
			tıkın	1
			gırtlakla	1
			şekerle	1
			addolun	1
			harfle	1
			lafla	1
			hafifse	1
			teyelle	1
			meleş	1
			kütürde	1
			şutla	1
			çöğün	1
			bütçele	1
			çayırla	1
			reddeyle	1
			mutlan	1
			bollan	1
			titret	1
			güdele	1
			çemre	1
			savakla	1
			kesbet	1
			mayış	1
			esenle	1
			gaslet	1
			mırılda	1
			kolala	1
			topukla	1
			gıdakla	1
			sislen	1
			yelpazele	1
			üzengile	1
			terbiyele	1
			aban	1
			sancı	1
			sığa	1
			köpüle	1
			orsala	1
			yoğurtla	1
			buğzet	1
			tırs	1
			zırvala	1
			ılıştır	1
			apazla	1
			avuçla	1
			abra	1
			masajla	1
			domal	1
			sik	1
			dazla	1
			sarımsakla	1
			havuzla	1
			kredile	1
			sarın	1
			talanla	1
			raspala	1
			kaşarlan	1
			dökün	1
			merhabalaş	1
			şaşala	1
			dehle	1
			kulaçla	1
			fıkırda	1
			yokumsa	1
			planyala	1
			kuşakla	1
			rakamla	1
			gurulda	1
			ayrımsa	1
			tıpala	1
			böceklen	1
			ödünle	1
			zannolun	1
			çekimle	1
			sepetle	1
			yanşa	1
			tangırda	1
			sıcakla	1
			düğmele	1
			hiçle	1
			cumbala	1
			çitle	1
			kolayla	1
			arkala	1
			zırla	1
			yülü	1
			tipile	1
			tirele	1
			günüle	1
			taharetlen	1
			tüple	1
			raptet	1
			azotla	1
			büyükse	1
			cızırda	1
			emreyle	1
			çocukla	1
			cemet	1
			kemerle	1
			küçükse	1
