lemma	morph_parse	correct_form	frequency
gül	Verb+Verb+Caus+Pos+Aor+A3sg	güldürür	9
çoğal	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Dat	çoğaltılmasına	9
ilerle	Verb+Verb+Caus+Pos+Adv+AfterDoingSo	ilerletip	9
üre	Verb+Verb+Caus+Verb+Pass+Neg+Narr+A3sg	üretilmemiş	9
taçlan	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	taçlandırılmıştır	9
kapa	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Loc	kapatılmasında	9
büyü	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	büyüttüğü	9
sulan	Verb+Verb+Caus+Verb+Pass+Pos+Adv+ByDoingSo	sulandırılarak	9
yansı	Verb+Verb+Caus+Verb+Able+Pos+Noun+Inf1+A3sg+Pnon+Nom	yansıtabilmek	9
sür	Verb+Verb+Caus+Verb+Able+Neg+Noun+FutPart+A3sg+P3sg+Acc	sürdüremeyeceğini	9
belle	Verb+Verb+Caus+Pos+Past+A3sg	Belletti	9
şaşır	Verb+Verb+Caus+Pos+Narr+A3sg	şaşırtmış	9
gecik	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	geciktirilmiş	9
kapa	Verb+Verb+Caus+Pos+Adv+When	kapatınca	9
al	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	aldırmaya	9
değiş	Verb+Verb+Caus+Verb+Able+Pos+Aor+A2pl	değiştirebilirsiniz	9
bağdaş	Verb+Verb+Caus+Pos+Aor+A3sg	bağdaştırır	9
bulaş	Verb+Verb+Caus+Pos+Adj+PresPart	bulaştıran	9
oku	Verb+Verb+Caus+Verb+Pass+Pos+Prog2+A3sg	okutulmakta	9
yumuşa	Verb+Verb+Caus+Pos+Adj+PresPart	yumuşatan	9
fırla	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Acc	fırlatmayı	9
sevin	Verb+Verb+Caus+Pos+Past+A3sg	sevindirdi	9
yerleş	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Nom	yerleştirilme	9
arın	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Acc	arındırmayı	9
yetiş	Verb+Verb+Caus+Verb+Able+Pos+Noun+Inf1+A3sg+Pnon+Nom	yetiştirebilmek	9
belir	Verb+Verb+Caus+Neg+Past+A3sg	belirtmedi	9
atla	Verb+Verb+Caus+Pos+Aor+A3pl	atlatırlar	9
ayaklan	Verb+Verb+Caus+Pos+Past+A3sg	ayaklandırdı	9
değiş	Verb+Verb+Caus+Pos+Prog1+Past+A3sg	değiştiriyordu	9
uy	Verb+Verb+Caus+Verb+Able+Pos+Noun+Inf1+A3sg+Pnon+Nom	uydurabilmek	9
püskür	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	püskürtmeye	9
başla	Verb+Verb+Caus+Pos+Narr+A3pl	başlatmışlar	9
gevşe	Verb+Verb+Caus+Pos+Adv+ByDoingSo	gevşeterek	9
uzlaş	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	uzlaştırmak	9
sıkış	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom+Adj+With	sıkıştırmalı	9
dur	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Abl	durdurulmasından	9
giy	Verb+Verb+Caus+Verb+Pass+Pos+Adv+ByDoingSo	giydirilerek	9
kısal	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	kısaltmıştır	9
canlan	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3pl	canlandırmaktadırlar	9
belir	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart+Noun+A3pl+Pnon+Gen	belirtilenlerin	9
boğ	Verb+Verb+Caus+Pos+Adv+ByDoingSo	boğdurarak	9
geliş	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Abl	geliştirilmeden	9
oluş	Verb+Verb+Caus+Pos+Prog1+Cond+A3sg	oluşturuyorsa	9
yönel	Verb+Verb+Caus+Pos+Narr+A3sg	yöneltmiş	9
belir	Verb+Verb+Caus+Pos+Noun+PastPart+A3sg+P3sg+Abl	belirttiğinden	9
şiddetlen	Verb+Verb+Caus+Pos+Past+A3sg	şiddetlendirdi	9
çık	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Noun+PastPart+A3sg+P3sg+Loc	çıkartıldığında	9
çık	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3pl+P3sg+Nom	çıkartmaları	9
canlan	Verb+Verb+Caus+Verb+Pass+Pos+Adv+ByDoingSo	canlandırılarak	9
sal	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Gen	saldırmanın	9
seslen	Verb+Verb+Caus+Pos+Adj+PresPart+Noun+A3pl+Pnon+Nom	seslendirenler	9
değiş	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Ins	değiştirmeyle	9
barın	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3pl	barındırmaktadırlar	9
serinle	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom	serinletici	9
kan	Verb+Verb+Caus+Pos+Past+A3sg	kandırdı	9
uğra	Verb+Verb+Caus+Verb+Pass+Pos+Adv+When	uğratılınca	9
geliş	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Dat	Geliştirilmesine	9
dolaş	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg	dolaştırılır	9
oku	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Dat	okutulmasına	9
belir	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Acc	belirtilmesini	9
değiş	Verb+Verb+Caus+Verb+Pass+Pos+Aor+Cond+A3sg	değiştirilirse	9
çalış	Verb+Verb+Caus+Verb+Pass+Verb+Able+Pos+Prog2+A3sg+Cop+A3sg	çalıştırılabilmektedir	9
başla	Verb+Verb+Caus+Pos+Aor+A3sg+Adv+While	başlatırken	9
et	Verb+Verb+Caus+Pos+Noun+Inf2+A3pl+P3sg+Nom	ettirmeleri	9
tatlan	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg	tatlandırılır	9
yetiş	Verb+Verb+Caus+Verb+Pass+Pos+Narr+Past+A3sg	yetiştirilmişti	9
oluş	Verb+Verb+Caus+Pos+Imp+A2pl	oluşturun	9
nitelen	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3pl	nitelendirmektedirler	9
öl	Verb+Verb+Caus+Verb+Caus+Pos+Narr+Past+A3sg	öldürtmüştü	9
işle	Verb+Verb+Caus+Pos+Adj+PastPart+P3pl	işlettikleri	9
hisset	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	hissettirmeye	9
buluş	Verb+Verb+Caus+Pos+Adv+ByDoingSo	buluşturarak	9
çık	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Loc	çıkarmasında	9
et	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom	ettirici	9
canlan	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg+Adv+While	canlandırılırken	9
dol	Verb+Verb+Caus+Pos+Noun+PastPart+A3sg+P3sg+Loc	doldurduğunda	9
büyü	Verb+Verb+Caus+Verb+Pass+Pos+Adv+AfterDoingSo	büyütülüp	9
kızar	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	kızartılması	9
dal	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg	daldırılır	9
bölüş	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	bölüştürüldü	9
kavuş	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	kavuşturulmuş	9
oku	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf1+A3sg+Pnon+Nom	okutulmak	9
zayıfla	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	Zayıflatılmış	9
kazan	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Dat	kazandırılmaya	9
karış	Verb+Verb+Caus+Verb+Pass+Neg+Noun+Inf1+A3sg+Pnon+Nom	karıştırılmamak	9
kabar	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg	kabartılır	9
fırla	Verb+Verb+Caus+Verb+Pass+Verb+Able+Pos+Adj+PresPart	fırlatılabilen	9
çarpış	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+P3sg+Nom	çarpıştırıcısı	9
çık	Verb+Verb+Caus+Neg+Narr+A3sg	çıkarmamış	9
art	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Dat	arttırılmaya	9
üre	Verb+Verb+Caus+Verb+Able+Pos+Adj+PastPart+P3sg	üretebildiği	9
gerek	Verb+Verb+Caus+Pos+Prog2+A3sg	gerektirmekte	9
gerek	Verb+Verb+Caus+Pos+Aor+A3sg+Adv+While	gerektirirken	9
unut	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	unutturma	9
parla	Verb+Verb+Caus+Pos+Adj+PresPart	parlatan	9
sin	Verb+Verb+Caus+Pos+Adv+ByDoingSo	sindirerek	9
çoğal	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Acc	çoğaltılmasını	9
et	Verb+Verb+Caus+Pos+Noun+FutPart+A3sg+P3sg+Acc	ettireceğini	9
tanı	Verb+Verb+Caus+Pos+Fut+A3sg	tanıtacak	9
kapa	Verb+Verb+Caus+Verb+Pass+Pos+Adv+When+Noun+A3sg+Pnon+Dat	kapatılıncaya	9
karış	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Ins	karıştırmakla	9
oluş	Verb+Verb+Caus+Verb+Able+Neg+Aor+A3pl	oluşturamazlar	9
çoğal	Verb+Verb+Caus+Verb+Pass+Pos+Adv+AfterDoingSo	çoğaltılıp	9
havalan	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	havalandırılmış	9
at	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	attırmıştır	9
sıkış	Verb+Verb+Caus+Pos+Past+A3sg	sıkıştırdı	9
azal	Verb+Verb+Caus+Verb+Pass+Pos+Adv+AfterDoingSo	azaltılıp	9
koş	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3sg	koşturmaktadır	9
çalış	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3pl	çalıştırılırlar	9
dur	Verb+Verb+Caus+Verb+Pass+Pos+Noun+PastPart+A3sg+Pnon+Abl	durdurulduktan	8
aşın	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	aşındırmaya	8
değiş	Verb+Verb+Caus+Verb+Pass+Verb+Able+Pos+Noun+Inf2+A3sg+P3sg+Nom	değiştirilebilmesi	8
sür	Verb+Verb+Caus+Verb+Pass+Verb+Able+Neg+Aor+A3sg	sürdürülemez	8
et	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Dat	ettirilmeye	8
yetiş	Verb+Verb+Caus+Pos+Aor+A3sg+Adv+While	yetiştirirken	8
oluş	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Loc	oluşturmasında	8
belir	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Ins	belirtmesiyle	8
onayla	Verb+Verb+Caus+Pos+Past+A3sg	onaylattı	8
patla	Verb+Verb+Caus+Verb+Pass+Verb+Able+Pos+Aor+A3sg	patlatılabilir	8
kan	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	kandırmıştır	8
barın	Verb+Verb+Caus+Neg+Prog2+A3sg+Cop+A3sg	barındırmamaktadır	8
em	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	Emdirme	8
sız	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	sızdırılması	8
başla	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Gen	başlatmasının	8
düzel	Verb+Verb+Caus+Verb+Pass+Pos+Neces+A3sg+Cop+A3sg	düzeltilmelidir	8
yönel	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3sg	yöneltmektedir	8
üre	Verb+Verb+Caus+Verb+Pass+Pos+Aor+Past+A3sg	üretilirdi	8
gerek	Verb+Verb+Caus+Pos+Noun+FutPart+A3sg+P3sg+Abl	gerektireceğinden	8
arın	Verb+Verb+Caus+Pos+Adj+PresPart	arındıran	8
geliş	Verb+Verb+Caus+Verb+Pass+Pos+Neces+A3sg+Cop+A3sg	geliştirilmelidir	8
değiş	Verb+Verb+Caus+Verb+Able+Pos+Prog1+Past+A3sg	değiştirebiliyordu	8
kız	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	kızdırılmış	8
küçül	Verb+Verb+Caus+Pos+Adv+AfterDoingSo	küçültüp	8
kayna	Verb+Verb+Caus+Pos+Adv+AfterDoingSo	kaynatıp	8
dol	Verb+Verb+Caus+Verb+Pass+Pos+Noun+PastPart+A3sg+Pnon+Abl	doldurulduktan	8
yetiş	Verb+Verb+Caus+Pos+Prog1+Past+A3sg	yetiştiriyordu	8
yap	Verb+Verb+Caus+Verb+Able+Pos+Noun+Inf1+A3sg+Pnon+Nom	yaptırabilmek	8
üre	Verb+Verb+Caus+Verb+Pass+Verb+Able+Pos+Narr+A3sg+Cop+A3sg	üretilebilmiştir	8
sön	Verb+Verb+Caus+Pos+Adj+PresPart	söndüren	8
geliş	Verb+Verb+Caus+Pos+Noun+Inf2+A3pl+Pnon+Dat	geliştirmelere	8
uza	Verb+Verb+Caus+Verb+Pass+Pos+Noun+PastPart+A3sg+P3sg+Loc	uzatıldığında	8
kısal	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Gen	kısaltmanın	8
yerleş	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3pl+Past	yerleştirilmişlerdi	8
uyan	Verb+Verb+Caus+Pos+Adj+PresPart	Uyandıran	8
uğra	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Abl	uğratılmasından	8
üre	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+Pnon+Abl	üretilmeden	8
inan	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Acc	inandırmayı	8
kapa	Verb+Verb+Caus+Verb+Caus+Pos+Aor+A3sg	kapattırır	8
oyna	Verb+Verb+Caus+Pos+Narr+A3sg	oynatmış	8
yüksel	Verb+Verb+Caus+Verb+Pass+Pos+Adv+AfterDoingSo	yükseltilip	8
öl	Verb+Verb+Caus+Verb+Caus+Pos+Adj+PresPart	öldürten	8
dön	Verb+Verb+Caus+Pos+Adv+AfterDoingSo	döndürüp	8
dur	Verb+Verb+Caus+Neg+Past+A3sg	durdurmadı	8
dur	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	Durdurma	8
kısal	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom+Verb+Pres+Cop+A3sg	kısaltılmasıdır	8
kazan	Verb+Verb+Caus+Pos+Aor+A3pl	kazandırırlar	8
kapa	Verb+Verb+Caus+Pos+Prog1+A3sg	kapatıyor	8
barın	Verb+Verb+Caus+Neg+Adj+PastPart+P3sg	barındırmadığı	8
kapa	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3sg	kapatmaktadır	8
bas	Verb+Verb+Caus+Verb+Able+Neg+Past+A3sg	bastıramadı	8
tanış	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	tanıştırılan	8
dokun	Verb+Verb+Caus+Verb+Pass+Pos+Aor+Cond+A3sg	dokundurulursa	8
bulun	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	bulundurulmuştur	8
don	Verb+Verb+Caus+Pos+Aor+A3sg	dondurur	8
hareketlen	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	hareketlendirmiştir	8
üre	Verb+Verb+Caus+Pos+Adj+FutPart+P3pl	üretecekleri	8
yönel	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Nom	yöneltmesi	8
yansı	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	yansıtmaktır	8
öl	Verb+Verb+Caus+Verb+Pass+Pos+Prog1+A3sg	öldürülüyor	8
belir	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	belirtmektir	8
in	Verb+Verb+Caus+Verb+Pass+Pos+Prog2+A3sg+Cop+A3sg	indirilmektedir	8
barın	Verb+Verb+Caus+Pos+Adv+ByDoingSo	barındırarak	8
uğra	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PastPart+P3sg	uğratıldığı	8
ayrış	Verb+Verb+Caus+Verb+Pass+Verb+Able+Pos+Aor+A3sg	ayrıştırılabilir	8
sal	Verb+Verb+Caus+Pos+Narr+A3pl+Past	saldırmışlardı	8
düzel	Verb+Verb+Caus+Verb+Pass+Verb+Able+Neg+Aor+A3sg	düzeltilemez	8
eğ	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	eğdirmeye	8
sev	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	sevdirmiştir	8
çürü	Verb+Verb+Caus+Pos+Aor+A3sg	çürütür	8
başla	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Loc	başlatılmasında	8
karış	Verb+Verb+Caus+Pos+Fut+A3sg	karıştıracak	8
öl	Verb+Verb+Caus+Pos+Adj+PresPart+Noun+A3sg+Pnon+Dat	öldürene	8
yaklaş	Verb+Verb+Caus+Verb+Pass+Pos+Aor+Cond+A3sg	yaklaştırılırsa	8
uza	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Acc	uzatılmasını	8
dur	Verb+Verb+Caus+Verb+Able+Pos+Past+A3sg	durdurabildi	8
değiş	Verb+Verb+Caus+Pos+Neces+A3sg+Cop+A3sg	değiştirmelidir	8
barış	Verb+Verb+Caus+Pos+Aor+A3sg	barıştırır	8
aşın	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Ins	aşındırmasıyla	8
bulun	Verb+Verb+Caus+Verb+Pass+Neg+Noun+Inf2+A3sg+P3sg+Nom	bulundurulmaması	8
değiş	Verb+Verb+Caus+Pos+Noun+Inf2+A3pl+Pnon+Dat	değiştirmelere	8
çalış	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Loc	çalıştırılmasında	8
mele	Verb+Verb+Caus+Pos+Imp+A2sg	Melet	8
değiş	Verb+Verb+Caus+Pos+Fut+Past+A3sg	değiştirecekti	8
inan	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	inandırmıştır	8
es	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Dat	estirmeye	8
bas	Verb+Verb+Caus+Verb+Pass+Verb+Able+Pos+Past+A3sg	bastırılabildi	8
değiş	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf1+A3sg+Pnon+Nom	Değiştirilmek	8
öl	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf3+A3sg+P3sg+Dat	öldürülüşüne	8
işle	Verb+Verb+Caus+Verb+Pass+Pos+Prog1+Past+A3sg	işletiliyordu	8
çağır	Verb+Verb+Caus+Pos+Adv+AfterDoingSo	çağırtıp	8
genişle	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PastPart+P3sg	genişletildiği	8
canlan	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Acc	canlandırılmasını	8
genişle	Verb+Verb+Caus+Pos+Aor+A3sg+Adv+While	genişletirken	8
cay	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	caydırma	8
bulun	Verb+Verb+Caus+Pos+Prog1+A3pl+Past	bulunduruyorlardı	8
kavuş	Verb+Verb+Caus+Pos+Narr+A3sg	kavuşturmuş	8
düzel	Verb+Verb+Caus+Pos+Fut+A3sg	düzeltecek	8
birleş	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom+Verb+Pres+Cop+A3sg	birleştirilmesidir	8
sür	Verb+Verb+Caus+Verb+Pass+Pos+Prog1+A3sg	sürdürülüyor	8
oluş	Verb+Verb+Caus+Pos+Prog2+Past+A3pl	oluşturmaktaydılar	8
in	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	indirmektir	8
ısla	Verb+Verb+Caus+Verb+Pass+Pos+Adv+ByDoingSo	ıslatılarak	8
çiftleş	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Ins	çiftleştirilmesiyle	8
cesaretlen	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Nom	cesaretlendirmesi	8
getir	Verb+Verb+Caus+Pos+Adj+PresPart	getirten	8
sür	Verb+Verb+Caus+Verb+Able+Neg+Narr+A3sg+Cop+A3sg	sürdürememiştir	8
kısal	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Acc	kısaltmayı	8
geliş	Verb+Verb+Caus+Verb+Able+Pos+Noun+Inf2+A3sg+P3sg+Nom	geliştirebilmesi	8
bil	Verb+Verb+Caus+Pos+Adj+PastPart+P1pl	bildirdiğimiz	8
gecik	Verb+Verb+Caus+Pos+Adv+ByDoingSo	geciktirerek	8
öl	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3pl+P3sg+Acc	öldürülmelerini	8
kap	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Dat	kaptırmasına	8
nitelen	Verb+Verb+Caus+Verb+Pass+Pos+Prog1+A3sg	nitelendiriliyor	8
er	Verb+Verb+Caus+Pos+Past+A3pl	erdirdiler	8
kes	Verb+Verb+Caus+Pos+Adv+ByDoingSo	kestirerek	8
topla	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Nom	toplatılması	8
çarp	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3pl+Cop+A3sg	çarptırılmışlardır	8
yayınla	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	yayınlatmıştır	8
üre	Verb+Verb+Caus+Pos+Adj+PastPart+P3pl	Ürettikleri	8
yansı	Verb+Verb+Caus+Pos+Adv+AfterDoingSo	yansıtıp	8
düzel	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	düzeltmektir	8
yürü	Verb+Verb+Caus+Pos+Narr+Past+A3sg	yürütmüştü	8
başla	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Abl	başlatılmasından	8
birik	Verb+Verb+Caus+Pos+Narr+A3sg	biriktirmiş	8
belir	Verb+Verb+Caus+Pos+Narr+A3pl	belirtmişler	8
in	Verb+Verb+Caus+Pos+Narr+Past+A3sg	indirmişti	8
as	Verb+Verb+Caus+Pos+Past+A3sg	astırdı	8
yap	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Dat	yaptırmasına	8
otur	Verb+Verb+Caus+Verb+Pass+Pos+Narr+Past+A3sg	oturtulmuştu	8
oluş	Verb+Verb+Caus+Pos+Noun+PastPart+A3sg+P3sg+Loc	oluşturduğunda	8
anımsa	Verb+Verb+Caus+Pos+Fut+A3sg	anımsatacak	8
karış	Verb+Verb+Caus+Pos+Imp+A2pl	karıştırın	8
birleş	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf1+A3sg+Pnon+Nom	birleştirilmek	8
bırak	Verb+Verb+Caus+Pos+Past+A3sg	bıraktırdı	8
üre	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom+Verb+Past+A3sg	üretmekti	8
art	Verb+Verb+Caus+Verb+Pass+Pos+Noun+PastPart+A3sg+P3sg+Loc	arttırıldığında	8
karşılaş	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	karşılaştırılmış	8
birleş	Verb+Verb+Caus+Pos+Noun+Agt+A3sg+Pnon+Nom	Birleştirici	8
çarp	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3pl	çarptırılırlar	8
düzel	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	düzelttiği	8
nitelen	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3sg+Adv+While	nitelendirilirken	8
yaklaş	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	yaklaştırmak	8
oluş	Verb+Verb+Caus+Verb+Pass+Verb+Able+Pos+Fut+A3sg	oluşturulabilecek	8
dolaş	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	dolaştırıldı	8
yık	Verb+Verb+Caus+Pos+Adv+ByDoingSo	yıktırarak	8
kara	Verb+Verb+Caus+Pos+Imp+A2sg	Karat	8
in	Verb+Verb+Caus+Verb+Able+Pos+Noun+Inf1+A3sg+Pnon+Nom	indirebilmek	8
tut	Verb+Verb+Caus+Verb+Pass+Pos+Adv+ByDoingSo	tutturularak	8
sür	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Abl	sürdürmekten	8
yık	Verb+Verb+Caus+Verb+Pass+Pos+Adv+AfterDoingSo	yıktırılıp	8
dönüş	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Abl	dönüştürülmesinden	8
yüksel	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom+Verb+Pres+Cop+A3sg	yükseltmektir	8
bulun	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Ins	bulundurmakla	8
yaklaş	Verb+Verb+Caus+Pos+Adj+PresPart	yaklaştıran	8
belir	Verb+Verb+Caus+Verb+Pass+Neg+Narr+Cond+A3sg	belirtilmemişse	8
çalış	Verb+Verb+Caus+Verb+Pass+Pos+Prog2+A3sg	çalıştırılmakta	8
çalış	Verb+Verb+Caus+Pos+Prog1+A3sg	çalıştırıyor	8
belir	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Ins	belirtmekle	8
yetiş	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom+Verb+Past+A3sg	yetiştirmekti	8
püskür	Verb+Verb+Caus+Pos+Noun+PastPart+A3sg+Pnon+Abl	püskürttükten	8
giy	Verb+Verb+Caus+Pos+Adv+AfterDoingSo	giydirip	8
yağ	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	yağdırdığı	8
öl	Verb+Verb+Caus+Pos+Noun+FutPart+A3sg+P3sg+Dat	öldüreceğine	8
ilerle	Verb+Verb+Caus+Pos+Narr+A3sg	ilerletmiş	8
uğra	Verb+Verb+Caus+Pos+Narr+A3pl+Cop+A3sg	uğratmışlardır	8
eri	Verb+Verb+Caus+Pos+Adj+PresPart	eriten	8
bulun	Verb+Verb+Caus+Neg+Aor+A3pl	bulundurmazlar	8
değiş	Verb+Verb+Caus+Pos+Adj+PresPart	Değiştiren	8
dönüş	Verb+Verb+Caus+Pos+Imp+A2sg	dönüştür	8
değiş	Verb+Verb+Caus+Neg+Aor+A3pl	değiştirmezler	8
