verb_lemma	verb_freq	caus_freq
banla	4	
çözüş	4	3.0
ene	4	3.0
koşulla	4	
küre	4	
buzağıla	4	
kırıt	4	
dayanış	4	
huysuzlan	4	
huylan	4	
haccet	4	
savsakla	4	
kavla	4	
sızır	4	
kokulan	4	4.0
seyreyle	4	
gürülde	4	
merkezle	4	
büyüklen	4	
sekile	4	
kıvılcımlan	4	1.0
cebelleş	4	
tün	4	
ürü	4	1.0
alaşımla	4	
tasalan	4	
rampala	4	
kızakla	4	
yel	4	
tın	4	
sepile	4	
ut	4	
kılıfla	4	
kabuklan	4	
ayrımla	4	
nazlan	4	
efsunla	4	
nakışla	4	
tomur	4	1.0
kubar	4	
biliş	4	
keyiflen	4	4.0
kubaş	4	
çapulla	4	
göy	4	
genel	4	
otala	4	
kırpış	4	
hükmolun	4	
çevrin	3	
harekele	3	
şartla	3	
kederlen	3	1.0
karbonatla	3	
zimmetle	3	
sarsala	3	
tosla	3	
sağal	3	
ödünçle	3	
yadımla	3	
şenel	3	2.0
zikrolun	3	
devrolun	3	
örnekse	3	
kargı	3	
kep	3	
kafesle	3	
menevişle	3	
pörsü	3	
demetlen	3	
hararetlen	3	2.0
parala	3	
tabet	3	
nötrle	3	
köpüklen	3	
beşle	3	
masset	3	
dilen	3	3.0
yazla	3	
sürgüle	3	
briketle	3	
keyfet	3	
halet	3	
fitille	3	
alçıla	3	
gümbürde	3	
hortumla	3	
zamkla	3	
çevrile	3	
alakalan	3	2.0
üş	3	
yerin	3	
rötuşla	3	
jiletle	3	
mürekkeple	3	1.0
ocu	3	1.0
eser	3	
esir	3	
fısıldaş	3	
arşınla	3	
mırla	3	
kesele	3	
çapkı	3	
nefyet	3	
karele	3	
gazla	3	
yalabı	3	
tüy	3	
açımla	3	
ergür	3	
sürün	3	3.0
sopala	3	
bereketlen	3	3.0
dönen	3	
açın	3	3.0
ötüş	3	
zımbala	3	
haşılla	3	
badanala	3	
celbet	3	
bağda	3	
kakış	3	
tavsa	3	
çiziktir	3	
yaltaklan	3	
tornala	3	
ensele	3	
yaslan	2	
çulla	2	
uğun	2	
yarlıga	2	
kepeklen	2	
takırda	2	1.0
kaşele	2	
boyala	2	
çimdikle	2	
çuvalla	2	
kalburla	2	
gevre	2	1.0
nihayetlen	2	1.0
muştula	2	
özgüle	2	
mıncıkla	2	
renkle	2	
nurlan	2	
şampuanla	2	
pırılda	2	
tanele	2	
dişle	2	
çağılda	2	
serdet	2	
öze	2	
sabunla	2	
örgüle	2	
zamlan	2	
çıtla	2	1.0
gedil	2	
çırçırla	2	
kavza	2	
sümkür	2	
vakla	2	
şıngırda	2	1.0
nasiplen	2	
hırılda	2	
karı	2	
hamlet	2	
nazmet	2	
kocal	2	
esle	2	
bekit	2	
ödeş	2	
şakra	2	
anıkla	2	
rutubetlen	2	
tımarla	2	
eyerle	2	
kâğıtla	2	
yelle	2	
güneşlen	2	2.0
yassıl	2	2.0
bileyle	2	1.0
ırala	2	
dikizle	2	
darbele	2	
arakla	2	
siperlen	2	
sifonla	2	
uzat	2	2.0
ilmekle	2	
tırmıkla	2	
cevret	2	
şırılda	2	
sekit	2	
vınla	2	
sayla	2	
siyanürle	2	
sırı	2	
bandajla	2	
çelmele	2	
zıpkınla	2	
ümitlen	2	2.0
dipçikle	2	
anır	2	
diklen	2	
parametrele	2	
vehmet	2	
alala	2	
notala	2	
kancala	2	
sepele	2	
tasnifle	2	
kinlen	2	
polar	2	
çent	2	
şerbetle	2	
beneklen	2	
parmakla	2	
süzgeçle	2	
koklaş	2	
yongala	2	
guslet	2	
bölgele	2	
kırkla	2	
okra	2	
tıkırda	2	1.0
pürüzlen	2	1.0
dikel	2	
soğanla	2	
efkârlan	2	
osur	2	
çöm	2	
gümüşle	2	
açıl	2	
kıp	2	
somur	2	2.0
röntgenle	2	
orantıla	2	
kürü	2	
desenle	2	
topakla	2	
titizlen	2	
ahdet	2	
erginle	2	
kaşın	2	2.0
kaşan	2	2.0
destele	2	
barikatla	2	
yivle	2	
kıskaçla	2	
kürne	2	
deşele	2	
ırgala	2	
üzengile	1	
yelpazele	1	
sislen	1	
gıdakla	1	
mırılda	1	
topukla	1	
kolala	1	
mayış	1	
gaslet	1	
esenle	1	
terbiyele	1	
yoğurtla	1	
aban	1	
sancı	1	
sığa	1	
köpüle	1	
orsala	1	
buğzet	1	
tırs	1	
zırvala	1	
ılıştır	1	
apazla	1	
kesbet	1	
avuçla	1	
boşat	1	1.0
hışırda	1	1.0
savakla	1	
çemre	1	
masajla	1	
gırtlakla	1	
şekerle	1	
addolun	1	
harfle	1	
lafla	1	
şapırda	1	1.0
hafifse	1	
teyelle	1	
durul	1	1.0
meleş	1	
kütürde	1	
şutla	1	
çöğün	1	
kanır	1	1.0
bütçele	1	
oynat	1	1.0
çayırla	1	
reddeyle	1	
mutlan	1	
bollan	1	
titret	1	
güdele	1	
abra	1	
sıcakla	1	
domal	1	
tirele	1	
tangırda	1	
siyahlat	1	
düğmele	1	
hiçle	1	
cumbala	1	
çitle	1	
kolayla	1	
arkala	1	
zırla	1	
yülü	1	
tipile	1	
günüle	1	
sik	1	
tıkış	1	1.0
taharetlen	1	
tüple	1	
raptet	1	
azotla	1	
büyükse	1	
cızırda	1	
emreyle	1	
çocukla	1	
cemet	1	
kemerle	1	
yanşa	1	
sepetle	1	
çekimle	1	
zannolun	1	
dazla	1	
sarımsakla	1	
havuzla	1	
kredile	1	
sarın	1	
talanla	1	
raspala	1	
kaşarlan	1	
dökün	1	
merhabalaş	1	
şaşala	1	
dehle	1	
kulaçla	1	
fıkırda	1	
yokumsa	1	
planyala	1	
kuşakla	1	
rakamla	1	
gurulda	1	
ayrımsa	1	
tıpala	1	
böceklen	1	
ödünle	1	
tıkın	1	
vızla	1	
kınala	1	
soruş	1	
mineralleştir	1	
gemle	1	
pırtla	1	1.0
tabakala	1	
hohla	1	
minele	1	
gadret	1	
tırnakla	1	
şırla	1	
sıvala	1	
zıngırda	1	1.0
dumanla	1	
vıcırda	1	
ayla	1	
toslaş	1	
çıtırda	1	
sokuş	1	1.0
tomrukla	1	
harelen	1	
unla	1	
cüretlen	1	
tayyet	1	
poşetle	1	
sızdır	1	1.0
açınsa	1	
tayla	1	
cıv	1	
akçala	1	
çit	1	
elektrikle	1	
cıyakla	1	
sıkıla	1	
sabreyle	1	
şarla	1	
betelen	1	
hasırla	1	
apış	1	
çentikle	1	
tırpanla	1	
ilintile	1	
kahırlan	1	
karşıtla	1	
tekerle	1	
bozla	1	
ambarla	1	
kılavuzla	1	
koltukla	1	
ahzet	1	
afişle	1	
pakla	1	
kısımla	1	
konukla	1	
camla	1	
tokmakla	1	
eyit	1	
yırla	1	
pörtle	1	1.0
çile	1	
payandala	1	
emiş	1	
tebeşirle	1	
çaşıtla	1	
işkillen	1	
kalafatla	1	
şeritle	1	
kakala	1	
mıknatısla	1	
kuzula	1	
yamala	1	
aprele	1	
deyiver	1	
karmaş	1	
recmet	1	
gerekse	1	
seyirt	1	
gidiş	1	
ağna	1	
zehret	1	
çıv	1	
alacala	1	
soyla	1	
parafla	1	
feyzal	1	
nakşol	1	
sikkele	1	
çapraş	1	
sürüştür	1	
eğleş	1	
lağvol	1	
kılıçla	1	
harcet	1	
tünekle	1	
varakla	1	
afsunla	1	
çivitle	1	
türet	1	
fışırda	1	
ötür	1	
atlat	1	1.0
karışla	1	
hıfzet	1	
silahla	1	
zenginle	1	
durala	1	
faslet	1	
küçükse	1	
